,BusinessPersonName,DetailsLinks
158,C. P. Mathen,https://en.wikipedia.org//wiki/C._P._Mathen
159,Narayan Mauzo,https://en.wikipedia.org//wiki/Narayan_Mauzo
160,Kiran Mazumdar-Shaw,https://en.wikipedia.org//wiki/Kiran_Mazumdar-Shaw
161,D. R. Mehta,https://en.wikipedia.org//wiki/D._R._Mehta
162,Harshad Mehta,https://en.wikipedia.org//wiki/Harshad_Mehta
163,Pravina Mehta,https://en.wikipedia.org//wiki/Pravina_Mehta
164,U. N. Mehta,https://en.wikipedia.org//wiki/U._N._Mehta
165,Vaikunthbhai Mehta,https://en.wikipedia.org//wiki/Vaikunthbhai_Mehta
166,Mekapati Goutham Reddy,https://en.wikipedia.org//wiki/Mekapati_Goutham_Reddy
167,Ritu Menon,https://en.wikipedia.org//wiki/Ritu_Menon
168,Perin Jamsetjee Mistri,https://en.wikipedia.org//wiki/Perin_Jamsetjee_Mistri
169,Aditya Mittal,https://en.wikipedia.org//wiki/Aditya_Mittal
170,Anoop Kumar Mittal,https://en.wikipedia.org//wiki/Anoop_Kumar_Mittal
171,Lakshmi Mittal,https://en.wikipedia.org//wiki/Lakshmi_Mittal
172,Sunil Mittal,https://en.wikipedia.org//wiki/Sunil_Mittal
173,Homi Mody,https://en.wikipedia.org//wiki/Homi_Mody
174,Zia Mody,https://en.wikipedia.org//wiki/Zia_Mody
175,Mohamed Yusuf,https://en.wikipedia.org//wiki/Mohamed_Yusuf
176,Mohanlal,https://en.wikipedia.org//wiki/Mohanlal
177,Rajendra Nath Mookerjee,https://en.wikipedia.org//wiki/Rajendra_Nath_Mookerjee
178,Sumati Morarjee,https://en.wikipedia.org//wiki/Sumati_Morarjee
179,Sulajja Firodia Motwani,https://en.wikipedia.org//wiki/Sulajja_Firodia_Motwani
180,Om Prakash Munjal,https://en.wikipedia.org//wiki/Om_Prakash_Munjal
181,Pankaj M Munjal,https://en.wikipedia.org//wiki/Pankaj_M_Munjal
182,Mohan Murjani,https://en.wikipedia.org//wiki/Mohan_Murjani
183,M. V. V. S. Murthi,https://en.wikipedia.org//wiki/M._V._V._S._Murthi
184,N. R. Narayana Murthy,https://en.wikipedia.org//wiki/N._R._Narayana_Murthy
185,Tammareddy Krishna Murthy,https://en.wikipedia.org//wiki/Tammareddy_Krishna_Murthy
186,Arunachalam Muruganantham,https://en.wikipedia.org//wiki/Arunachalam_Muruganantham
187,M. A. Muthiah Chettiar,https://en.wikipedia.org//wiki/M._A._Muthiah_Chettiar
188,Shiv Nadar,https://en.wikipedia.org//wiki/Shiv_Nadar
189,K. B. Nagabhushanam,https://en.wikipedia.org//wiki/K._B._Nagabhushanam
190,Bangalore Nagarathnamma,https://en.wikipedia.org//wiki/Bangalore_Nagarathnamma
191,R. Nagarathnamma,https://en.wikipedia.org//wiki/R._Nagarathnamma
192,C. P. Krishnan Nair,https://en.wikipedia.org//wiki/C._P._Krishnan_Nair
193,K. Ravindranathan Nair,https://en.wikipedia.org//wiki/K._Ravindranathan_Nair
194,Nanjangud Tirumalamba,https://en.wikipedia.org//wiki/Nanjangud_Tirumalamba
195,Appu Nedungadi,https://en.wikipedia.org//wiki/Appu_Nedungadi
196,Indra Nooyi,https://en.wikipedia.org//wiki/Indra_Nooyi
197,Pearl Padamsee,https://en.wikipedia.org//wiki/Pearl_Padamsee
198,Kutty Padmini,https://en.wikipedia.org//wiki/Kutty_Padmini
199,Bipradas Pal Chowdhury,https://en.wikipedia.org//wiki/Bipradas_Pal_Chowdhury
200,Anku Pande,https://en.wikipedia.org//wiki/Anku_Pande
201,Rajani Pandit,https://en.wikipedia.org//wiki/Rajani_Pandit
202,B. R. Panthulu,https://en.wikipedia.org//wiki/B._R._Panthulu
203,Chhaganlal Karamshi Parekh,https://en.wikipedia.org//wiki/Chhaganlal_Karamshi_Parekh
204,Ketan Parekh,https://en.wikipedia.org//wiki/Ketan_Parekh
205,Salil Parekh,https://en.wikipedia.org//wiki/Salil_Parekh
206,Amrita Patel,https://en.wikipedia.org//wiki/Amrita_Patel
207,Rajshree Pathy,https://en.wikipedia.org//wiki/Rajshree_Pathy
